Year,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8
1901,0.500,0.419,0.619,0.626,0.620,0.407,0.353,0.457
1902,0.467,0.457,0.504,0.500,0.647,0.591,0.259,0.582
1903,0.580,0.485,0.406,0.468,0.396,0.637,0.350,0.686
1904,0.641,0.634,0.392,0.425,0.307,0.658,0.431,0.513
1905,0.669,0.684,0.399,0.484,0.314,0.454,0.373,0.623
1906,0.675,0.566,0.237,0.576,0.368,0.536,0.392,0.653
1907,0.608,0.561,0.296,0.569,0.464,0.435,0.409,0.660
1908,0.591,0.656,0.357,0.526,0.364,0.461,0.364,0.682
1909,0.706,0.641,0.320,0.497,0.399,0.516,0.276,0.645
1910,0.654,0.584,0.325,0.513,0.409,0.490,0.438,0.588
1911,0.709,0.573,0.403,0.542,0.353,0.480,0.448,0.497
1912,0.660,0.621,0.393,0.510,0.318,0.520,0.384,0.588
1913,0.543,0.564,0.425,0.582,0.336,0.417,0.477,0.660
1914,0.386,0.513,0.494,0.610,0.455,0.519,0.552,0.471
1915,0.454,0.474,0.523,0.539,0.546,0.408,0.526,0.529
1916,0.414,0.390,0.562,0.608,0.434,0.405,0.578,0.608
1917,0.529,0.536,0.519,0.494,0.364,0.428,0.669,0.461
1918,0.573,0.548,0.349,0.469,0.427,0.553,0.480,0.605
1919,0.590,0.507,0.464,0.314,0.379,0.657,0.489,0.606
1920,0.592,0.396,0.513,0.464,0.442,0.595,0.487,0.513
1921,0.484,0.493,0.582,0.542,0.386,0.669,0.412,0.431
1922,0.654,0.506,0.481,0.442,0.396,0.627,0.448,0.448
1923,0.649,0.506,0.461,0.409,0.379,0.675,0.435,0.484
1924,0.654,0.403,0.471,0.458,0.392,0.636,0.412,0.578
1925,0.542,0.556,0.558,0.477,0.434,0.556,0.379,0.497
1926,0.566,0.536,0.468,0.435,0.510,0.616,0.451,0.422
1927,0.610,0.575,0.444,0.510,0.403,0.669,0.390,0.399
1928,0.673,0.497,0.409,0.487,0.396,0.717,0.441,0.383
1929,0.636,0.542,0.355,0.571,0.444,0.536,0.425,0.487
1930,0.545,0.442,0.416,0.617,0.435,0.662,0.481,0.403
1931,0.584,0.480,0.455,0.623,0.428,0.571,0.513,0.344
1932,0.500,0.474,0.416,0.610,0.532,0.494,0.442,0.532
1933,0.461,0.575,0.442,0.618,0.401,0.605,0.435,0.464
1934,0.483,0.533,0.430,0.656,0.392,0.624,0.507,0.379
1935,0.752,0.542,0.351,0.556,0.405,0.582,0.438,0.377
1936,0.539,0.565,0.435,0.519,0.403,0.649,0.455,0.435
1937,0.480,0.595,0.396,0.636,0.375,0.601,0.442,0.474
1938,0.493,0.537,0.414,0.453,0.447,0.700,0.427,0.530
1939,0.583,0.451,0.455,0.370,0.490,0.702,0.556,0.399
1940,0.572,0.425,0.513,0.346,0.526,0.673,0.494,0.451
1941,0.597,0.351,0.545,0.429,0.516,0.721,0.474,0.366
1942,0.601,0.325,0.558,0.500,0.441,0.722,0.551,0.312
1943,0.556,0.471,0.516,0.435,0.641,0.584,0.481,0.318
1944,0.578,0.591,0.513,0.422,0.565,0.601,0.412,0.318
1945,0.559,0.435,0.364,0.604,0.487,0.701,0.468,0.383
1946,0.385,0.471,0.464,0.565,0.604,0.552,0.591,0.372
1947,0.390,0.442,0.552,0.526,0.474,0.597,0.597,0.422
1948,0.455,0.405,0.584,0.582,0.494,0.571,0.461,0.448
1949,0.370,0.513,0.604,0.597,0.526,0.474,0.539,0.377
1950,0.422,0.461,0.582,0.569,0.442,0.409,0.627,0.490
1951,0.382,0.506,0.597,0.558,0.376,0.526,0.584,0.474
1952,0.373,0.582,0.500,0.552,0.403,0.435,0.727,0.429
1953,0.318,0.403,0.578,0.558,0.545,0.461,0.675,0.461
1954,0.403,0.422,0.584,0.519,0.370,0.513,0.656,0.532
1955,0.359,0.448,0.529,0.513,0.481,0.500,0.610,0.558
1956,0.396,0.403,0.610,0.409,0.565,0.539,0.571,0.506
1957,0.455,0.383,0.597,0.481,0.552,0.500,0.597,0.435
1958,0.539,0.403,0.532,0.506,0.481,0.552,0.455,0.532
1959,0.436,0.449,0.519,0.519,0.461,0.584,0.494,0.539
1960,0.468,0.429,0.610,0.565,0.487,0.617,0.383,0.442
